sample_id,item_id,cloud_pct,num_water_pixels,days_before_sample,visual_href
9bb14952df098fa8c632f3e2afcd23c1,S2B_MSIL2A_20190703T155829_R097_T17RMM_20201005T085417,0.04889226546417018,98136.0,4,https://sentinel2l2a01.blob.core.windows.net/sentinel2-l2/17/R/MM/2019/07/03/S2B_MSIL2A_20190703T155829_N0212_R097_T17RMM_20201005T085417.SAFE/GRANULE/L2A_T17RMM_A012135_20190703T160727/IMG_DATA/R10m/T17RMM_20190703T155829_TCI_10m.tif
9d2ac3240d406c0d443bafa5fa455a36,S2A_MSIL2A_20190625T160521_R054_T17RNK_20201006T061046,2.475186257765897e-05,160739.0,16,https://sentinel2l2a01.blob.core.windows.net/sentinel2-l2/17/R/NK/2019/06/25/S2A_MSIL2A_20190625T160521_N0212_R054_T17RNK_20201006T061046.SAFE/GRANULE/L2A_T17RNK_A020929_20190625T160516/IMG_DATA/R10m/T17RNK_20190625T160521_TCI_10m.tif
9d6804dfa74575961b7cdb7a42a668a8,S2B_MSIL2A_20190703T155829_R097_T17RMM_20201005T085417,0.028922596693166852,75764.0,0,https://sentinel2l2a01.blob.core.windows.net/sentinel2-l2/17/R/MM/2019/07/03/S2B_MSIL2A_20190703T155829_N0212_R097_T17RMM_20201005T085417.SAFE/GRANULE/L2A_T17RMM_A012135_20190703T160727/IMG_DATA/R10m/T17RMM_20190703T155829_TCI_10m.tif
9d891bc6e4c55472831e7f429f4a5396,S2A_MSIL2A_20190625T160521_R054_T17RNL_20201006T061044,0.003391005173139279,146461.0,8,https://sentinel2l2a01.blob.core.windows.net/sentinel2-l2/17/R/NL/2019/06/25/S2A_MSIL2A_20190625T160521_N0212_R054_T17RNL_20201006T061044.SAFE/GRANULE/L2A_T17RNL_A020929_20190625T160516/IMG_DATA/R10m/T17RNL_20190625T160521_TCI_10m.tif
9e41acae3be94a775e31cd0c71388f5e,S2B_MSIL2A_20190703T155829_R097_T17RMM_20201005T085417,0.0,162409.0,1,https://sentinel2l2a01.blob.core.windows.net/sentinel2-l2/17/R/MM/2019/07/03/S2B_MSIL2A_20190703T155829_N0212_R097_T17RMM_20201005T085417.SAFE/GRANULE/L2A_T17RMM_A012135_20190703T160727/IMG_DATA/R10m/T17RMM_20190703T155829_TCI_10m.tif
9ee98563c3b393437b039780f997d766,S2B_MSIL2A_20190623T155829_R097_T17RML_20201006T053546,0.000792059602485087,98480.0,15,https://sentinel2l2a01.blob.core.windows.net/sentinel2-l2/17/R/ML/2019/06/23/S2B_MSIL2A_20190623T155829_N0212_R097_T17RML_20201006T053546.SAFE/GRANULE/L2A_T17RML_A011992_20190623T161512/IMG_DATA/R10m/T17RML_20190623T155829_TCI_10m.tif
a131be6d50c6def3ba9464d593091238,S2A_MSIL2A_20190625T160521_R054_T17RNL_20201006T061044,0.0,161202.0,13,https://sentinel2l2a01.blob.core.windows.net/sentinel2-l2/17/R/NL/2019/06/25/S2A_MSIL2A_20190625T160521_N0212_R054_T17RNL_20201006T061044.SAFE/GRANULE/L2A_T17RNL_A020929_20190625T160516/IMG_DATA/R10m/T17RNL_20190625T160521_TCI_10m.tif
a20b6e8f52e221056d2459967a02ddf7,S2B_MSIL2A_20190623T155829_R097_T17RML_20201006T053546,0.000792059602485087,98480.0,22,https://sentinel2l2a01.blob.core.windows.net/sentinel2-l2/17/R/ML/2019/06/23/S2B_MSIL2A_20190623T155829_N0212_R097_T17RML_20201006T053546.SAFE/GRANULE/L2A_T17RML_A011992_20190623T161512/IMG_DATA/R10m/T17RML_20190623T155829_TCI_10m.tif
a72ae99d649b6ca27fd616d7ac236d1e,S2B_MSIL2A_20190623T155829_R097_T17RMM_20201006T053622,0.007915890598960886,46794.0,10,https://sentinel2l2a01.blob.core.windows.net/sentinel2-l2/17/R/MM/2019/06/23/S2B_MSIL2A_20190623T155829_N0212_R097_T17RMM_20201006T053622.SAFE/GRANULE/L2A_T17RMM_A011992_20190623T161512/IMG_DATA/R10m/T17RMM_20190623T155829_TCI_10m.tif
a8742f672d27d7beb4243bbfd00a8cd7,S2B_MSIL2A_20190623T155829_R097_T17RML_20201006T053546,0.03823154592686991,98528.0,9,https://sentinel2l2a01.blob.core.windows.net/sentinel2-l2/17/R/ML/2019/06/23/S2B_MSIL2A_20190623T155829_N0212_R097_T17RML_20201006T053546.SAFE/GRANULE/L2A_T17RML_A011992_20190623T161512/IMG_DATA/R10m/T17RML_20190623T155829_TCI_10m.tif
a8f9e2835d3c167d93ab9d74c2f18871,S2B_MSIL2A_20190703T155829_R097_T17RMM_20201005T085417,0.02911479266738555,85697.0,12,https://sentinel2l2a01.blob.core.windows.net/sentinel2-l2/17/R/MM/2019/07/03/S2B_MSIL2A_20190703T155829_N0212_R097_T17RMM_20201005T085417.SAFE/GRANULE/L2A_T17RMM_A012135_20190703T160727/IMG_DATA/R10m/T17RMM_20190703T155829_TCI_10m.tif
ac157a5273b73c6695bb33494ee8f991,S2A_MSIL2A_20190708T155911_R097_T17RML_20201005T110144,0.03276639545142633,108853.0,4,https://sentinel2l2a01.blob.core.windows.net/sentinel2-l2/17/R/ML/2019/07/08/S2A_MSIL2A_20190708T155911_N0212_R097_T17RML_20201005T110144.SAFE/GRANULE/L2A_T17RML_A021115_20190708T160744/IMG_DATA/R10m/T17RML_20190708T155911_TCI_10m.tif
ac4c77c324eb8d42c355760ec0890297,S2A_MSIL2A_20190625T160521_R054_T17RNL_20201006T061044,0.0,161202.0,12,https://sentinel2l2a01.blob.core.windows.net/sentinel2-l2/17/R/NL/2019/06/25/S2A_MSIL2A_20190625T160521_N0212_R054_T17RNL_20201006T061044.SAFE/GRANULE/L2A_T17RNL_A020929_20190625T160516/IMG_DATA/R10m/T17RNL_20190625T160521_TCI_10m.tif
af4ff93a42e9f9b1b7918e251a098bff,S2A_MSIL2A_20190708T155911_R097_T17RMM_20201005T110146,0.023772179198117832,85678.0,4,https://sentinel2l2a01.blob.core.windows.net/sentinel2-l2/17/R/MM/2019/07/08/S2A_MSIL2A_20190708T155911_N0212_R097_T17RMM_20201005T110146.SAFE/GRANULE/L2A_T17RMM_A021115_20190708T160744/IMG_DATA/R10m/T17RMM_20190708T155911_TCI_10m.tif
afb0d6c90d249ba33c069a49649874dc,S2B_MSIL2A_20190623T155829_R097_T17RMM_20201006T053622,0.01021958631506715,40360.0,11,https://sentinel2l2a01.blob.core.windows.net/sentinel2-l2/17/R/MM/2019/06/23/S2B_MSIL2A_20190623T155829_N0212_R097_T17RMM_20201006T053622.SAFE/GRANULE/L2A_T17RMM_A011992_20190623T161512/IMG_DATA/R10m/T17RMM_20190623T155829_TCI_10m.tif
