"latitude","longitude","date"
25.2080496927184,-80.7757886484817,2019-07-04
25.193498292291,-80.72952893327,2019-07-04
25.1688371917614,-80.959687378183,2019-07-04
26.4226698478972,-81.4933453119557,2019-07-04
27.7958069226913,-81.5123262885453,2019-07-04
25.1778750681986,-80.7405180780307,2019-07-04
27.7402899318058,-81.4960848675335,2019-07-04
27.8937570117933,-81.3569074523797,2019-07-04
28.0673032235626,-81.931124763678,2019-07-04
28.060965274634,-82.2775657832782,2019-07-04
28.0997695665893,-81.7435972957896,2019-07-04
28.0920534904943,-81.6675805499147,2019-07-04
28.0511345845852,-81.6533110440384,2019-07-04
28.13805847513,-81.7803108324235,2019-07-04
28.1062989296243,-81.7680134300449,2019-07-04
28.023905584016,-81.74417067752,2019-07-04
27.9712253632218,-81.8380089824864,2019-07-04
