"latitude","longitude","date","CyFi_cells_ml"
28.8615137964089,-81.713425620339,2019-07-03,140704.957716374
28.671418292054,-81.6007262850412,2019-07-03,1122761.21028775
26.9414370431827,-80.8786611615722,2019-07-03,15408.5368027763
27.7397148305408,-81.505461338859,2019-07-03,654647.328592975
27.9742536263217,-81.8296191430444,2019-07-03,929585.626668079
26.9886982689427,-80.8713476305267,2019-07-03,16262.5782780047
28.6271351848571,-81.6760397842789,2019-07-03,690932.14767879
27.0390682223804,-80.8088271573049,2019-07-03,53285.0527441888
28.2327382246501,-81.3997183406333,2019-07-03,174590.8180987
27.8894444091353,-81.2457183515802,2019-07-03,402861.161013037
28.8446306458245,-81.8628781110276,2019-07-03,119681.052551551
29.3983182947347,-81.4489791455677,2019-07-03,91387.2060516864
29.4691246494849,-82.1959364130055,2019-07-03,371546.69285986
